ID,Title,Description,Reviews
563977,Mental,How Men Strengthen Their Mindset,5 reviews
564654,mentalport-app: AI Mental Health Coach,"Personal systemic AI coach, everyday companion & health hub",3 reviews
570505,Yuna AI — Your Mental Health Coach,A safe place for self-discovery,1 review
1090491,Ash,The first AI designed for therapy,2 reviews
881782,todai,Your first personalized happy lifestyle index,3 reviews
664426,TherapyAI,AI Therapist for stress and anxiety,5 reviews
1136436,Unloop,Map the patterns that keep you stuck.,0 reviews
598860,MYND,24/7 AI Bestie For Your Mental Wellness,0 reviews
544793,Soula Care,"AI-powered assistant for pregnancy, birth and postpartum",14 reviews
578234,Guin - Your GoodMind Buddy,It's all about YOU!,0 reviews
1075120,MoodGallery: Emotions to art,Turn your moods into personalized AI artwork,1 review
597733,Life Note,Your Mind Meets History’s Greatest Thinkers,4 reviews
596564,FitAction,"AI Coach, Calorie Counter, Workouts, Nutrition, Yoga",0 reviews
585541,Eve: Workplace Stress AI Coach,"Work Stress Relief, Anytime",0 reviews
1068618,Psyche,Holistic approach to your psyche,2 reviews
860767,Reset: Journal to reduce anxiety,Make a habit of challenging anxious thoughts with AI,0 reviews
601149,Pallie,Hyper-personal AI Friend in Messenger,2 reviews
599812,MindGuide,Chat-based AI-Mental Health Coach for iOS,0 reviews
1090257,commitify.me,AI agents that CALL your phone to keep you on track,0 reviews
738197,Anonymous Health,Overcome addictions and unwanted habits,0 reviews
593053,Friend,The AI Wearable,1 review
556667,Mentat Ai - Your Mental Health,"Mental Health, Personalized support, CBT, Mindfulness",0 reviews
744631,Nora,24/7 mental health companion without revealing your identity,1 review
605479,Clones,Speak to AI Personalities for Every Life Scenario.,0 reviews
1056119,Breaktime Buddy,Smarter breaks. Sharper mind. Escape the doomscroll.,0 reviews
551067,Mentor.AI,Unlock Growth Potential with AI Mentors,6 reviews
567475,Bliss Brain,"Tailored meditations, no prerecorded content",3 reviews
1080061,Sublime,AI journal that turns your thoughts into real-world actions,2 reviews
549238,Plutis,"On-demand, modern-day mental healthcare.",0 reviews
561000,folsom,connect soulularly,15 reviews
779587,Pearl,An AI Journal that reflects with you,0 reviews
1155402,Therapist AI,"Built by Therapists, For Therapists",1 review
502334,Earkick - AI Therapy & Mental Health App,Easiest way to assess mental readiness in your company,1 review
562991,Reassurance AI,Take Control of Your Mental Health,0 reviews
98723,Endel,Endel is a cross-platform audio ecosystem,42 reviews
594564,Airy,Reflection journal that grows with you,3 reviews
602593,Murror,AI that helps you understand your emotions & connect deeper,0 reviews
919129,Comigo,AI productivity co-pilot for people with ADHD,0 reviews
593626,Gobi,A new way of well-being,0 reviews
552673,Expresso,Transforming workplace wellbeing with AI,1 review
579761,Healax,Your Mental Health Mate,0 reviews
561129,Sonia AI Therapy,An emotionally intelligent AI-powered therapist,1 review
933677,MacroMate,"You best mate, a complete Health and Wellbeing AI App.",1 review
536287,Dreamore AI,"Interpret, Paint, and Share Your Dreams",5 reviews
1070283,Kuky: Connect with someone who gets it,Real connections. Backed by science & AI.,0 reviews
925330,Your Daily Minute,AI Powered Self Journaling app,0 reviews
1076546,Dreavie,"A journal that listens, reflects, and grows with you",0 reviews
552178,Panda - Proactive Mental Health,We're on a mission to democratize mental health care.,4 reviews
567107,Nemo AI,AI Mental Health Assistant on WhatsApp,3 reviews
585309,Streaks66 - Habit Tracker AI,Daily Habits Tracker with AI,0 reviews
